"","title","link","address","lat","long","date_opened","date_closed","descr","closed_status"
"159","Illegal Parking at Intersection Of Boston Wharf Rd & Seaport Blvd","https://311.boston.gov/reports/101002194399","Intersection Of Boston Wharf Rd & Seaport Blvd, Boston",42.3516166666667,-71.0449611666667,2017-08-22 08:41:00,2017-08-22 09:36:00,"People park in the bike lane and across part of a vehicle lane every day here at 101 Seaport. We do not need parking here, we need load zones.","Case Resolved. Area has been enforced."
"160","Illegal Parking at 65 Martha Rd, Apt 2h","https://311.boston.gov/reports/101002190530","65 Martha Rd, Apt 2h, Boston",42.3656199999999,-71.06564,2017-08-17 09:06:00,2017-08-17 09:21:00,"How is the car parked illegally? Other | Details: Buses parked blocking the bike lane and creating traffic. They park there waiting for pick up. | Details: MIT bus and Boston Children's hospital bus","Case Noted. moved out the vechicles."
"161","Illegal Parking at Intersection Of Boston Wharf Rd & Seaport Blvd","https://311.boston.gov/reports/101002187344","Intersection Of Boston Wharf Rd & Seaport Blvd, Boston",42.3516416666667,-71.0452416666667,2017-08-14 11:54:00,2017-08-14 12:23:00,"People park in the bike lane and across part of a vehicle lane every day here at 101 Seaport. We do not need parking here, we need load zones.","Case Noted. cleared and tagged vehicles."
"162","Damaged Sign at Intersection Of Park Vale Ave & Brighton Ave, Allston","https://311.boston.gov/reports/101002176582","Intersection Of Park Vale Ave & Brighton Ave, Allston",42.353118,-71.133334,2017-08-01 15:05:00,2017-08-04 07:08:00,"Bike lane need emergency repaint. Every day cars are honking at bikers and trying to smash into them because they can't see the bike lane marking","Case Noted. Your request for pavement marking replacement has been inspected by the traffic investigator and has been determined that it is in poor condition. A new Service Request has been created 101002179075 and will be added to an active list for re-painting, weather condition pending."
"163","Illegal Parking at Intersection Of Kenmore St & Commonwealth Ave","https://311.boston.gov/reports/101002170561","Intersection Of Kenmore St & Commonwealth Ave, Boston",42.3487485137835,-71.0951254014269,2017-07-25 18:48:00,2017-07-25 20:37:00,"Parked on handicap ramp/crosswalk

(Not a legal space here) (I was ticketed for parking here)!

Why does the Valet at the hotel Commonwealth get a free pass to park cars here?
Also multiple cars parked in bike lane

Dangerous for cyclists, pedestrians and other motorists.

Please ticket/tow, move them out

Please monitor area","Case Noted. officer states area clear at this time and will monitor."
"164","Illegal Parking at Intersection Of Claremont Park & Columbus Ave, Roxbury","https://311.boston.gov/reports/101002165318","Intersection Of Claremont Park & Columbus Ave, Roxbury",42.3417213423973,-71.0804465511447,2017-07-19 18:32:00,2017-07-19 19:08:00,"Cars blocking bike lane again","Case Resolved. all clear."
"165","Illegal Parking at Intersection Of Claremont Park & Columbus Ave, Roxbury","https://311.boston.gov/reports/101002154775","Intersection Of Claremont Park & Columbus Ave, Roxbury",42.3416647967197,-71.0805704706513,2017-07-07 18:51:00,2017-07-07 20:00:00,"Every day, cars parked in the bike lane","Case Noted. area clear at this time and will monitor."
"166","Illegal Parking at 32 Dry Dock Ave, A","https://311.boston.gov/reports/101002154013","32 Dry Dock Ave, A, Boston",42.3446707083699,-71.0348268457096,2017-07-07 08:21:00,NA,"Daily problem. People park in bike lane. In crosswalk.  Blocking line of sight from crosswalk. Police park in bike lane. Super dangerous for everyone. Please enforce otherwise I will report this every day.",NA
"167","Illegal Parking at Intersection Of Matthews St & Congress St","https://311.boston.gov/reports/101002098709","Intersection Of Matthews St & Congress St, Boston",42.3548,-71.0548333333333,2017-05-26 17:02:00,2017-07-05 14:57:00,"Watched car pull through flexposts into bike lane and park. Bike lane needs more flexposts to prevent this behavior.","Case Noted. Thank you for your suggestion."
"168","Illegal Parking at 530 Atlantic Ave Downtown","https://311.boston.gov/reports/101002149849","530 Atlantic Ave, Boston",42.3537627,-71.0530544,2017-07-01 16:31:00,2017-07-01 21:06:00,"Hi there,
I wanted to let you know that consistently from 9a this morning busses have been parked waiting for a spot to open up in front of the hotel. These busses (in front of 520/530 Atlantic Ave) are parked at a no stopping sign, in the bike lane and in front of a fire hydrant. They are shuttling people from the hotel to the convention center. When I asked the driver and coordinator they said they had ""a special permit from city hall"" to park illegally like they are parked yet no special perm","Case Resolved. clear."
"169","Illegal Parking at 136 Blackstone St","https://311.boston.gov/reports/101002143617","136 Blackstone St, Boston",42.362333,-71.057186,2017-06-24 18:09:00,2017-06-24 18:32:00,"Several cars using the bike lane to double park near RMV","Case Resolved. officer responded and moved cars out of bike lane."
